,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구주 은퇴여부,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
118,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,56326,2400.0,53926.0,1,0,0,1,1,1,0,0,0
119,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,49254,1500.0,47754.0,1,0,1,1,1,1,0,0,0
120,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,27008,3500.0,23508.0,1,0,1,1,1,0,0,0,0
121,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,2404,0.0,2404.0,1,1,1,0,0,0,0,0,0
122,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,130,1000.0,-870.0,1,0,0,0,0,0,1,0,0
123,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,3145,1425.0,1720.0,1,1,0,1,0,0,1,0,0
124,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,171400,2050.0,169350.0,0,0,0,1,1,0,0,0,0
125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1.0,0,0,1430,160.0,1270.0,1,0,0,0,0,1,0,0,0
126,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,6300,0.0,6300.0,0,0,0,0,0,1,0,0,0
127,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,60120,1200.0,58920.0,0,1,0,0,1,1,0,0,0
128,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,11265,14.0,11251.0,1,1,0,0,0,1,0,0,0
129,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,1.0,0,0,18981,9580.0,9401.0,1,0,1,1,1,0,0,0,0
130,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,60455,27550.0,32905.0,1,0,1,1,1,0,0,0,1
131,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,178700,78355.0,100345.0,1,1,1,1,1,0,0,0,0
132,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,165255,5000.0,160255.0,0,0,0,1,1,0,0,0,0
133,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,138370,2000.0,136370.0,1,1,1,1,1,0,0,0,0
134,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,1.0,0,0,17920,5000.0,12920.0,1,1,1,0,0,0,0,0,0
135,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,56500,750.0,55750.0,0,1,0,0,1,0,0,0,0
136,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1220,930.0,290.0,1,0,0,1,0,1,0,0,0
137,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,56368,4000.0,52368.0,1,1,0,0,1,1,1,0,0
138,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,82360,21500.0,60860.0,1,0,1,1,1,1,0,0,0
139,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,97280,0.0,97280.0,0,0,1,0,1,1,0,0,0
